Zr	Fescp	Fbary	sfe	yfe2
   1.3999177e+01   1.0576513e+02   1.8514480e-01   1.2154345e-10   9.4666952e-02
   1.4078772e+01   5.9653020e+01   6.9037042e-03   5.4389864e-11   7.2714621e-02
   1.4105613e+01   1.0865885e+02   1.0093652e-01   9.6013298e-11   6.4638558e-02
   1.4192320e+01   6.4977824e+01   7.4942136e-02   1.7980529e-10   9.0884274e-02
   1.4259085e+01   1.0735425e+02   3.8141646e-02   8.8035897e-11   7.6368590e-02
   1.4331343e+01   3.8392577e+01   7.0203765e-02   1.5000341e-10   9.6402575e-02
   1.4374444e+01   1.0759438e+02   2.6812415e-03   1.1391045e-10   1.4949548e-01
   1.4393817e+01   7.5259146e+01   5.6731538e-02   8.7366088e-11   1.8807163e-01
   1.4467490e+01   8.2421103e+01   1.5891608e-01   1.0355235e-10   1.9081776e-01
   1.4538221e+01   9.6749894e+00   1.7489735e-01   1.3429543e-10   8.6095822e-02
   1.4574659e+01   5.6593612e+01   4.9582004e-02   2.2769819e-11   1.3991236e-01
   1.4678210e+01   7.1302429e+00   8.0251024e-02   3.2828797e-11   1.1335814e-01
   1.4725259e+01   5.5258195e+01   1.4070859e-01   4.8427139e-11   1.0679507e-01
   1.4783879e+01   1.9297185e+01   1.5236653e-01   7.9229580e-11   1.8907413e-01
   1.4820193e+01   3.2378111e+01   7.2074201e-02   9.2087052e-11   1.2112085e-01
   1.4888340e+01   4.8506390e+01   3.3739218e-02   1.4469028e-10   1.3407998e-01
   1.4916129e+01   9.2368272e+01   4.0932462e-02   5.1122746e-11   1.5462789e-01
   1.5002261e+01   1.6804998e+01   2.2015480e-02   1.0851032e-10   6.9446019e-02
   1.5070876e+01   1.0408372e+01   1.6850203e-01   2.7687495e-11   1.1855893e-01
   1.5100344e+01   4.8008368e+01   1.2639732e-01   1.6390135e-10   1.7648624e-01
   1.5186594e+01   9.2725101e+01   1.8138968e-01   1.5880801e-10   1.5560496e-01
   1.5245880e+01   1.3966486e+01   1.7390469e-02   4.0027994e-11   1.4235775e-01
   1.5273017e+01   9.0180797e+01   7.1083380e-02   2.3967078e-11   6.5859779e-02
   1.5365926e+01   7.0693508e+01   1.4206749e-01   1.0907144e-10   1.3789142e-01
   1.5419780e+01   5.9928164e+01   8.8283759e-04   2.9973124e-11   8.5689571e-02
   1.5438068e+01   3.6703820e+01   6.1652903e-02   1.7697162e-10   1.2609059e-01
   1.5531016e+01   7.9743488e+01   2.1898303e-03   6.5860704e-11   1.9451431e-01
   1.5577974e+01   4.9956011e+01   1.3364652e-01   8.4062829e-11   1.2869269e-01
   1.5602387e+01   5.8422079e+01   9.7676822e-02   1.5920256e-10   1.7266476e-01
   1.5671286e+01   5.1014259e+01   1.8970944e-01   1.0970148e-10   4.7996538e-02
   1.5752577e+01   4.1433184e+01   4.2258635e-02   1.5569054e-10   1.2629381e-01
   1.5774057e+01   4.2710485e+01   1.0384940e-01   7.5910405e-11   1.2979844e-01
   1.5845538e+01   8.9401311e+01   1.5112196e-01   1.7040201e-10   1.1992588e-01
   1.5943258e+01   2.0002460e+01   8.6797416e-02   8.1616120e-11   5.4416023e-02
   1.5991297e+01   6.4118251e+01   2.7718909e-02   3.3219579e-11   4.2383672e-02
   1.6019936e+01   1.5922186e+01   1.0004885e-01   5.5838855e-11   1.6007471e-01
   1.6067568e+01   5.4516028e+01   3.6019705e-02   1.2454158e-10   8.9149225e-02
   1.6119554e+01   1.0677115e+02   6.7153082e-02   9.7363365e-11   1.7467122e-01
   1.6192290e+01   2.5705827e+00   9.0060824e-02   1.2991871e-10   1.7314119e-01
   1.6268422e+01   3.3751157e+01   8.7252890e-02   1.2116459e-10   1.0279590e-01
   1.6325455e+01   1.6011815e+00   3.1593413e-02   4.6406589e-11   6.1899096e-02
   1.6361205e+01   4.7536608e+01   1.6563743e-01   1.4918271e-10   1.6820113e-01
   1.6421231e+01   9.5054161e+01   1.7815633e-01   1.6201591e-10   1.4306340e-01
   1.6516471e+01   5.1716698e+01   7.7720150e-02   3.7892441e-11   1.9022362e-01
   1.6576782e+01   2.6373179e+01   2.8167766e-02   6.7632829e-11   1.4670217e-01
   1.6593356e+01   5.2167735e+01   1.6987463e-01   1.5291985e-10   8.6973126e-02
   1.6682538e+01   1.0630541e+02   2.8986611e-02   9.9334654e-11   1.6602840e-01
   1.6725382e+01   8.4077359e+01   1.4819422e-01   9.8426972e-11   1.6387119e-01
   1.6780905e+01   4.4854789e+01   8.3571506e-02   1.6745091e-10   1.8387748e-01
   1.6840778e+01   3.1648541e+01   1.1925981e-01   7.2258627e-11   7.8607709e-02
   1.6921485e+01   1.2558421e+01   1.0965532e-01   8.4615534e-11   1.6448833e-01
   1.6970759e+01   6.3322318e+01   1.8900531e-01   1.1465876e-10   4.1368584e-02
   1.7025411e+01   1.1030575e+02   7.2581794e-02   3.5265351e-11   1.6215046e-01
   1.7091908e+01   3.3248871e+01   4.1815892e-02   6.2909655e-11   1.7558734e-01
   1.7131263e+01   2.4926175e+01   1.7237197e-02   6.8828969e-11   6.9634000e-02
   1.7174618e+01   4.5977779e+01   9.5500745e-02   1.1279148e-10   1.6374184e-01
   1.7254816e+01   4.6387746e+01   1.4453647e-01   1.7266600e-10   9.3587926e-02
   1.7273309e+01   6.1682180e+01   5.0218789e-02   7.2966572e-11   1.1237503e-01
